mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison
evm.TU.chromosome_12.792,140.4786483,-3.514476206,0.6697443719,-5.247488972,1.54E-07,5.30E-05,TP0_v_TP5_amb
evm.TU.chromosome_13.1047,480.6568008,-5.446355665,1.208953676,-4.505016009,6.64E-06,0.001099403543,TP0_v_TP5_amb
evm.TU.chromosome_12.2906,76.32403746,24.74698146,3.259458739,7.592359174,3.14E-14,6.48E-11,TP0_v_TP5_amb
evm.TU.chromosome_2.753,138.623258,-1.6604599,0.4952305205,-3.352903005,0.0007996872583,0.0373707509,TP0_v_TP5_amb
evm.TU.chromosome_3.460,99.1157477,-3.38108001,0.9448949,-3.578260408,0.000345888741,0.02123139494,TP0_v_TP5_amb
evm.TU.chromosome_13.358,1712.034748,-9.064945387,2.283400782,-3.969931805,7.19E-05,0.00693691853,TP0_v_TP5_amb
evm.TU.chromosome_8.2672,116.1954314,-2.065745248,0.6017058616,-3.433147955,0.0005966164321,0.03059969249,TP0_v_TP5_amb
evm.TU.chromosome_8.956,30.49442716,-4.937402176,1.227615641,-4.021944662,5.77E-05,0.005954888811,TP0_v_TP5_amb
evm.TU.chromosome_5.2618_evm.TU.chromosome_5.2619,367.0184221,-1.600293459,0.405015824,-3.951187494,7.78E-05,0.007370853138,TP0_v_TP5_amb
evm.TU.chromosome_9.1668,106.4303394,-3.132723484,0.859159589,-3.646264936,0.00026607965,0.01762301366,TP0_v_TP5_amb
evm.TU.chromosome_10.1241,131.960148,-5.925480005,1.245098184,-4.75904638,1.95E-06,0.00042301267,TP0_v_TP5_amb
evm.TU.chromosome_4.2217,43.91748294,-4.801316847,1.348657281,-3.56007187,0.00037075331,0.02225753072,TP0_v_TP5_amb
evm.TU.chromosome_14.7134,816.8388007,2.062153991,0.5990699983,3.442258829,0.0005768779975,0.02993070678,TP0_v_TP5_amb
evm.TU.chromosome_9.1103,77.63742472,-2.828418679,0.8211819611,-3.444326364,0.0005724842124,0.02976871373,TP0_v_TP5_amb
evm.TU.chromosome_6.2473,174.4515362,1.174333763,0.3448674782,3.405173979,0.0006612191356,0.0327242474,TP0_v_TP5_amb
evm.TU.chromosome_6.2479,71.59546728,1.840559319,0.558066538,3.298100126,0.0009734141687,0.04203568538,TP0_v_TP5_amb
evm.TU.chromosome_5.943,261.9387507,-4.849465783,1.239863878,-3.911288866,9.18E-05,0.008236034768,TP0_v_TP5_amb
evm.TU.chromosome_5.942,414.2425998,-3.733019283,1.021146661,-3.655713156,0.0002564680027,0.01715585462,TP0_v_TP5_amb
evm.TU.chromosome_13.4146,6094.159424,-1.519847818,0.3374034151,-4.504541894,6.65E-06,0.001099403543,TP0_v_TP5_amb
evm.TU.chromosome_12.2985,22.21586243,-3.584276939,0.9698409796,-3.695736739,0.0002192500711,0.01516509906,TP0_v_TP5_amb
evm.TU.chromosome_2.693,357.232761,-1.903124832,0.5038660468,-3.777045196,0.0001586999414,0.01212811176,TP0_v_TP5_amb
evm.TU.chromosome_14.430,366.0892278,-3.625848472,0.5709005295,-6.351103711,2.14E-10,2.29E-07,TP0_v_TP5_amb
evm.TU.chromosome_5.1198,13289.90531,-1.519779941,0.461333712,-3.294317978,0.0009866082061,0.04227600403,TP0_v_TP5_amb
evm.TU.chromosome_5.1193,338.0784229,1.354840246,0.4084399508,3.317110001,0.000909537987,0.04049699515,TP0_v_TP5_amb
evm.TU.chromosome_8.245,286.8836561,-4.497372278,1.175099629,-3.827226361,0.0001295953274,0.01059836909,TP0_v_TP5_amb
evm.TU.chromosome_8.244,132.2817154,-5.19065266,1.304851531,-3.977964188,6.95E-05,0.00682372434,TP0_v_TP5_amb
evm.TU.chromosome_10.2078,21.94744679,-21.46726724,4.563403879,-4.704222508,2.55E-06,0.0005178560277,TP0_v_TP5_amb
evm.TU.chromosome_7.1955,758.3055183,2.148670617,0.62906043,3.415682365,0.0006362241237,0.03189920728,TP0_v_TP5_amb
evm.TU.chromosome_4.619,29.20731988,4.404489504,0.8817770175,4.995015085,5.88E-07,0.0001532123563,TP0_v_TP5_amb
evm.TU.chromosome_9.1392,256.6190784,-1.812454973,0.460120795,-3.93908511,8.18E-05,0.007591740841,TP0_v_TP5_amb
evm.TU.chromosome_2.1990,549.2550187,-2.349427862,0.6442454809,-3.646789821,0.0002655369468,0.01762301366,TP0_v_TP5_amb
evm.TU.chromosome_12.690,62.32192434,-4.722729398,1.454290397,-3.247445907,0.001164457966,0.04776058178,TP0_v_TP5_amb
evm.TU.chromosome_6.1512,135.4794831,-8.838056607,0.9810222816,-9.009027392,2.08E-19,1.12E-15,TP0_v_TP5_amb
evm.TU.chromosome_14.1351,233.2472726,2.372489024,0.6287857158,3.773128054,0.0001612134895,0.01228520069,TP0_v_TP5_amb
evm.TU.chromosome_10.2910,4834.722176,-1.51048484,0.3860604007,-3.91256093,9.13E-05,0.008236034768,TP0_v_TP5_amb
evm.TU.chromosome_10.2917,2267.033899,3.289502604,0.8266106542,3.97950666,6.91E-05,0.00682372434,TP0_v_TP5_amb
evm.TU.chromosome_13.1473,176.4489989,-1.69198822,0.4868767413,-3.475188022,0.0005104954044,0.02788906054,TP0_v_TP5_amb
evm.TU.chromosome_10.1999,101.8205251,-4.631157147,1.036786713,-4.466836899,7.94E-06,0.001223800379,TP0_v_TP5_amb
evm.TU.chromosome_5.1092,364.9457225,-25.06384061,4.562098457,-5.493928036,3.93E-08,1.82E-05,TP0_v_TP5_amb
evm.TU.chromosome_9.1589,70.54630575,-4.414663182,0.7551935679,-5.845737265,5.04E-09,3.38E-06,TP0_v_TP5_amb
evm.TU.chromosome_9.2588,46.86003206,-3.536679851,0.8740953045,-4.046103249,5.21E-05,0.005565421162,TP0_v_TP5_amb
evm.TU.chromosome_9.2583,427.0929989,1.0422514,0.3031867035,3.437655372,0.000586773978,0.03028159801,TP0_v_TP5_amb
evm.TU.chromosome_6.1493,518.8151274,-3.218988918,0.6183721247,-5.205585423,1.93E-07,6.33E-05,TP0_v_TP5_amb
evm.TU.chromosome_8.57,419.2798954,-2.80337873,0.6229689124,-4.500029895,6.79E-06,0.001111297161,TP0_v_TP5_amb
evm.TU.chromosome_14.2504,110.6503349,-3.802852699,1.083309032,-3.510404314,0.0004474258073,0.02514886373,TP0_v_TP5_amb
evm.TU.chromosome_11.3053,198.7693777,1.35234189,0.4108458664,3.291603983,0.0009961778175,0.04255011748,TP0_v_TP5_amb
evm.TU.chromosome_12.3294,44.61005949,-5.2676755,1.280409333,-4.114055843,3.89E-05,0.004437572178,TP0_v_TP5_amb
evm.TU.chromosome_2.502,1158.276339,-2.336888151,0.5208011799,-4.48710226,7.22E-06,0.001132544203,TP0_v_TP5_amb
evm.TU.chromosome_11.615,24.94185717,-21.45951114,4.563317689,-4.702611697,2.57E-06,0.0005180352155,TP0_v_TP5_amb
evm.TU.chromosome_4.1974,21.44765727,2.979874937,0.761736673,3.911948897,9.16E-05,0.008236034768,TP0_v_TP5_amb
evm.TU.chromosome_9.2218,436.4461818,-2.266363502,0.6294433195,-3.600583931,0.0003175033139,0.0200141926,TP0_v_TP5_amb
evm.TU.chromosome_8.1966,1528.830079,-1.030996177,0.2352216898,-4.383082946,1.17E-05,0.001685543307,TP0_v_TP5_amb
evm.TU.chromosome_12.3641,6.534504203,-6.717853081,1.699196094,-3.95354786,7.70E-05,0.007324364836,TP0_v_TP5_amb
evm.TU.chromosome_12.3640,34.16221383,-6.078620676,1.579751691,-3.847832992,0.0001191672419,0.01002050814,TP0_v_TP5_amb
evm.TU.chromosome_7.2395,66.8640289,3.236201648,0.7011818996,4.615352522,3.92E-06,0.0007259659001,TP0_v_TP5_amb
evm.TU.chromosome_10.490,58.08219042,-3.212420841,0.7928733974,-4.051618899,5.09E-05,0.005457553836,TP0_v_TP5_amb
evm.TU.chromosome_13.2662,401.4736091,-1.511481142,0.4292555129,-3.521168854,0.0004296489311,0.02457335379,TP0_v_TP5_amb
evm.TU.chromosome_5.829,45.10284851,3.300383384,0.9582299224,3.444249972,0.0005726459993,0.02976871373,TP0_v_TP5_amb
evm.TU.chromosome_12.372,264.0451918,-2.388904367,0.7187944903,-3.32348731,0.0008889946741,0.04005060257,TP0_v_TP5_amb
evm.TU.chromosome_12.378,99.09642449,-1.738132593,0.4246315367,-4.093272503,4.25E-05,0.004706490087,TP0_v_TP5_amb
evm.TU.chromosome_6.1890,134.8140771,-2.363464467,0.6508175518,-3.631531542,0.0002817442137,0.01825484732,TP0_v_TP5_amb
evm.TU.chromosome_14.7048,280.7142935,-3.548026626,0.7128985509,-4.976902565,6.46E-07,0.0001634994256,TP0_v_TP5_amb
evm.TU.chromosome_12.2419,515.0999653,-3.491703695,0.3393257692,-10.29012239,7.81E-25,1.05E-20,TP0_v_TP5_amb
evm.TU.chromosome_12.1859,15.47687991,-7.082289713,1.741873123,-4.065904469,4.78E-05,0.005175142813,TP0_v_TP5_amb
evm.TU.chromosome_12.1856,52.49786019,-3.889670796,1.108803603,-3.50798896,0.0004515077873,0.02528443609,TP0_v_TP5_amb
evm.TU.chromosome_12.1857,94.86783814,-5.834682125,1.090079639,-5.352528309,8.67E-08,3.50E-05,TP0_v_TP5_amb
evm.TU.chromosome_14.5376,5.833468986,-6.858254563,2.077102075,-3.301838001,0.0009605352865,0.04170899308,TP0_v_TP5_amb
evm.TU.chromosome_7.2214,20.47630088,-3.752248143,1.121512539,-3.345703247,0.0008207418299,0.03784174236,TP0_v_TP5_amb
evm.TU.chromosome_11.328,27.3334021,21.16382114,3.3452642,6.326502144,2.51E-10,2.50E-07,TP0_v_TP5_amb
evm.TU.chromosome_4.2109,1033.779422,-1.462689629,0.2705777185,-5.40580221,6.45E-08,2.70E-05,TP0_v_TP5_amb
evm.TU.chromosome_4.1663,73.06058191,2.442140929,0.6764595684,3.610180183,0.0003059843731,0.01940360478,TP0_v_TP5_amb
evm.TU.chromosome_9.1053,86.81231189,2.679601003,0.8124914327,3.298005241,0.0009737431685,0.04203568538,TP0_v_TP5_amb
evm.TU.chromosome_14.1119,454.9558202,-1.784227341,0.4793388897,-3.722267022,0.0001974420606,0.01435270129,TP0_v_TP5_amb
evm.TU.chromosome_10.3273,101.7052961,-5.341474445,1.613444213,-3.31060374,0.0009309493724,0.04107201639,TP0_v_TP5_amb
evm.TU.chromosome_3.322,201.5972678,-3.464325968,0.5986606739,-5.786793953,7.17E-09,4.58E-06,TP0_v_TP5_amb
evm.TU.chromosome_8.2734,404.3822938,2.050251393,0.4620718135,4.437083876,9.12E-06,0.001366462053,TP0_v_TP5_amb
evm.TU.chromosome_6.2853,657.1363094,2.01077775,0.3983165195,5.048190701,4.46E-07,0.0001220803562,TP0_v_TP5_amb
evm.TU.chromosome_13.1134,71.83097015,-6.546807933,1.519578024,-4.308306537,1.65E-05,0.002173791629,TP0_v_TP5_amb
evm.TU.chromosome_11.14,28.16443918,-22.13734615,4.56286992,-4.851627711,1.22E-06,0.0002831604314,TP0_v_TP5_amb
evm.TU.chromosome_8.546,9.334362277,-6.091255126,1.849645296,-3.293201751,0.0009905336963,0.04237651654,TP0_v_TP5_amb
evm.TU.chromosome_10.2811,861.7118878,-2.009010227,0.6146777595,-3.268395832,0.001081589831,0.04528282535,TP0_v_TP5_amb
evm.TU.chromosome_1.1511,108.9029719,-1.894386282,0.553438215,-3.422940865,0.0006194755241,0.03141174189,TP0_v_TP5_amb
evm.TU.chromosome_10.2104,35.59325444,-3.296281705,1.004196931,-3.282505257,0.00102889067,0.04365833663,TP0_v_TP5_amb
evm.TU.chromosome_12.2609,18031.64284,-1.414676463,0.364747774,-3.878506092,0.0001050998954,0.009123623283,TP0_v_TP5_amb
evm.TU.chromosome_2.2078,67.67417754,-3.029678633,0.6743776305,-4.492555056,7.04E-06,0.001123633685,TP0_v_TP5_amb
evm.TU.chromosome_13.228,234.7245276,-2.02159826,0.3945523691,-5.123776762,2.99E-07,8.93E-05,TP0_v_TP5_amb
evm.TU.chromosome_8.1276,168.7930179,1.028468742,0.3063830507,3.356806911,0.0007884815633,0.03692423273,TP0_v_TP5_amb
evm.TU.chromosome_8.1187,1392.047478,1.519827565,0.4242758793,3.582168205,0.0003407542636,0.02109185412,TP0_v_TP5_amb
evm.TU.chromosome_10.2607,764.9824636,-2.757152078,0.2902129477,-9.500444761,2.09E-21,1.40E-17,TP0_v_TP5_amb
evm.TU.chromosome_12.2039,660.9825762,-1.585505418,0.4251529092,-3.729259247,0.0001920434933,0.01407479416,TP0_v_TP5_amb
evm.TU.chromosome_12.2036,203.4343357,1.5710004,0.4758125997,3.301720889,0.00096093639,0.04170899308,TP0_v_TP5_amb
evm.TU.chromosome_6.888,163.267535,2.546716472,0.459516834,5.542161425,2.99E-08,1.46E-05,TP0_v_TP5_amb
Thr_3570,10.71705502,-4.350495606,1.273353324,-3.416565946,0.0006341630218,0.03189920728,TP0_v_TP5_amb
evm.TU.chromosome_9.871,155.036724,-2.584047259,0.7136846867,-3.620712771,0.0002937925302,0.01889853916,TP0_v_TP5_amb
evm.TU.chromosome_7.854,13.25874711,17.22881411,3.071603368,5.609062126,2.03E-08,1.03E-05,TP0_v_TP5_amb
evm.TU.chromosome_2.1927,180797.3901,-1.686045368,0.4141880667,-4.070724154,4.69E-05,0.005105714718,TP0_v_TP5_amb
evm.TU.chromosome_4.1958,22.57830756,-7.055841115,2.170780297,-3.250370903,0.001152545833,0.04738213352,TP0_v_TP5_amb
evm.TU.chromosome_2.1681,49.23412356,6.895232777,2.051735598,3.360682918,0.0007775002826,0.03680907848,TP0_v_TP5_amb
evm.TU.chromosome_2.1680,29.29458352,22.21163258,4.563147081,4.867612678,1.13E-06,0.00027187702,TP0_v_TP5_amb
evm.TU.chromosome_3.280,20.9703012,-3.042723743,0.8206373213,-3.707756964,0.0002091031924,0.01483915028,TP0_v_TP5_amb
evm.TU.chromosome_3.281,111.2545713,-3.527371065,0.9142121326,-3.858372625,0.0001141445298,0.009689281223,TP0_v_TP5_amb
evm.TU.chromosome_9.133,508.0758044,-1.508419944,0.3503045276,-4.306024687,1.66E-05,0.002185557922,TP0_v_TP5_amb
evm.TU.chromosome_9.139,438.2308225,-1.654199808,0.447272633,-3.698414984,0.0002169499894,0.01511549744,TP0_v_TP5_amb
evm.TU.chromosome_14.7129,25.9443069,-3.056693718,0.8311128692,-3.677832256,0.0002352245645,0.01591591476,TP0_v_TP5_amb
evm.TU.chromosome_7.88,242.8633837,-6.417389839,1.368907393,-4.68796492,2.76E-06,0.0005444878166,TP0_v_TP5_amb
evm.TU.chromosome_5.1925,138.0895043,-2.608777994,0.6696348138,-3.895821933,9.79E-05,0.00866784636,TP0_v_TP5_amb
evm.TU.chromosome_1.1904,1649.458405,-1.523270112,0.3698975563,-4.118086444,3.82E-05,0.00439811602,TP0_v_TP5_amb
evm.TU.chromosome_13.119,20.14576729,-8.184937892,2.286395838,-3.579842894,0.0003438008449,0.0211516373,TP0_v_TP5_amb
evm.TU.chromosome_9.2467,1003.904226,-1.525058172,0.4461852083,-3.417993567,0.0006308459797,0.03180791834,TP0_v_TP5_amb
evm.TU.chromosome_9.254,22.10203134,-2.107832516,0.6275301427,-3.358934293,0.0007824366926,0.03690166936,TP0_v_TP5_amb
evm.TU.chromosome_3.419,1015.000822,-2.903410748,0.8041080547,-3.61072213,0.0003053456616,0.01940360478,TP0_v_TP5_amb
evm.TU.chromosome_1.123,33.04271851,-3.562233035,0.9037484924,-3.941619892,8.09E-05,0.007564289774,TP0_v_TP5_amb
evm.TU.chromosome_7.178,1000.090451,-1.059127489,0.3119472807,-3.395213083,0.0006857520718,0.03344475195,TP0_v_TP5_amb
evm.TU.chromosome_11.214,613.9790394,-2.357680668,0.705648114,-3.341156337,0.0008343023029,0.03825854837,TP0_v_TP5_amb
evm.TU.chromosome_13.301,1109.038733,4.039409305,1.099667981,3.673299008,0.000239439026,0.01609702364,TP0_v_TP5_amb
evm.TU.chromosome_14.1063,24.38662931,-7.297636821,2.060823615,-3.541126358,0.0003984227226,0.0233665171,TP0_v_TP5_amb
evm.TU.chromosome_14.6590,138.4603715,1.407124379,0.3766569196,3.735825111,0.000187100675,0.01378788051,TP0_v_TP5_amb
evm.TU.chromosome_9.193,207.5578937,-1.097749879,0.3160612286,-3.473219046,0.0005142554614,0.02803737499,TP0_v_TP5_amb
evm.TU.chromosome_12.3101,138.6483875,-4.671307584,0.9655631409,-4.837910009,1.31E-06,0.000298272697,TP0_v_TP5_amb
evm.TU.chromosome_12.3811,33123.7065,-0.9830653462,0.2616936083,-3.756550849,0.0001722712808,0.01298035066,TP0_v_TP5_amb
evm.TU.chromosome_1.1424,784.1588312,-2.388823921,0.6566392798,-3.637954649,0.000274811799,0.01790284277,TP0_v_TP5_amb
evm.TU.chromosome_13.2700,169.8461157,-5.119242838,0.7738718866,-6.615103774,3.71E-11,4.98E-08,TP0_v_TP5_amb
evm.TU.chromosome_14.831,355.9260191,2.928615428,0.6062354894,4.830821486,1.36E-06,0.0003039402266,TP0_v_TP5_amb
evm.TU.chromosome_5.513,3126.213711,1.525388108,0.4442241422,3.433825323,0.000595127576,0.03059969249,TP0_v_TP5_amb
evm.TU.chromosome_4.1944,227.0424487,-1.883062413,0.4186685768,-4.497740021,6.87E-06,0.001116522283,TP0_v_TP5_amb
evm.TU.chromosome_4.1945,113.7052327,-4.583068459,0.9735801953,-4.707438053,2.51E-06,0.0005136478112,TP0_v_TP5_amb
evm.TU.chromosome_4.1368,10.21108482,-6.340772758,1.827208112,-3.470197355,0.0005200760755,0.02823992034,TP0_v_TP5_amb
evm.TU.chromosome_4.1366,12.59259379,-5.679865333,1.441891246,-3.939177347,8.18E-05,0.007591740841,TP0_v_TP5_amb
evm.TU.chromosome_13.435,144.6511477,-6.603492247,1.992064869,-3.314898199,0.0009167650471,0.04057971225,TP0_v_TP5_amb
evm.TU.chromosome_2.1261,77.40559109,-2.389940893,0.7329612218,-3.260664852,0.001111513342,0.04629694701,TP0_v_TP5_amb
