mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Comparison
evm.TU.chromosome_11.1878,429.0760789,-2.81985878,0.6375148934,-4.423204554,9.72E-06,0.001433279824,TP0_v_TP5_amb
evm.TU.chromosome_8.383,106.1061042,-2.564282258,0.7517408778,-3.411125208,0.0006469537572,0.03219645191,TP0_v_TP5_amb
evm.TU.chromosome_8.384,799.7450981,-1.596759502,0.4909955313,-3.25208561,0.001145615106,0.04727689172,TP0_v_TP5_amb
evm.TU.chromosome_3.1277,94.08115317,-1.865939479,0.5051738645,-3.693657986,0.0002210510677,0.01520377908,TP0_v_TP5_amb
evm.TU.chromosome_5.609,40.35274515,-9.330500334,1.589235767,-5.871061128,4.33E-09,2.98E-06,TP0_v_TP5_amb
evm.TU.chromosome_12.4014,231.1345369,-7.45960364,2.120509628,-3.517835309,0.0004350822932,0.02477844466,TP0_v_TP5_amb
evm.TU.chromosome_10.1787,124.0229017,-1.990797123,0.610919593,-3.25868927,0.001119281872,0.04654824331,TP0_v_TP5_amb
evm.TU.chromosome_4.874,29.03590906,-6.311440122,1.921974818,-3.28383081,0.001024063801,0.04357518574,TP0_v_TP5_amb
evm.TU.chromosome_5.974,1887.768657,-1.840493865,0.4927695871,-3.734998898,0.0001877160092,0.01379532666,TP0_v_TP5_amb
evm.TU.chromosome_13.3849,10.31410593,-6.958295922,1.466875434,-4.743617461,2.10E-06,0.0004488990148,TP0_v_TP5_amb
evm.TU.chromosome_14.7108,164.9666676,-3.138719992,0.663479667,-4.730695074,2.24E-06,0.0004691754892,TP0_v_TP5_amb
evm.TU.chromosome_1.732,638.4239216,-3.011121511,0.7144855349,-4.214391145,2.50E-05,0.003139321908,TP0_v_TP5_amb
evm.TU.chromosome_7.1317,65.59348436,-5.740323677,1.774378446,-3.235118016,0.001215924615,0.04956185348,TP0_v_TP5_amb
evm.TU.chromosome_10.2951,1781.636706,3.01697624,0.6884669637,4.382165592,1.18E-05,0.001685543307,TP0_v_TP5_amb
evm.TU.chromosome_2.1055_evm.TU.chromosome_2.1056,24.06167283,-3.105879209,0.8959384919,-3.46662102,0.0005270444172,0.02850290211,TP0_v_TP5_amb
evm.TU.chromosome_9.489,11.17738464,22.93641502,4.563093211,5.026505917,4.99E-07,0.0001339850966,TP0_v_TP5_amb
evm.TU.chromosome_7.2340,20.57892681,-4.4189492,1.348314357,-3.27738793,0.00104772313,0.04418887618,TP0_v_TP5_amb
evm.TU.chromosome_4.2059,203.9170326,1.220477368,0.3069277394,3.97643227,7.00E-05,0.00682372434,TP0_v_TP5_amb
evm.TU.chromosome_6.1548,13.52030161,-19.2167434,4.568654354,-4.206215203,2.60E-05,0.003224877738,TP0_v_TP5_amb
evm.TU.chromosome_14.5067,6.337824652,3.866780658,1.129428794,3.423660421,0.0006178377313,0.03141174189,TP0_v_TP5_amb
evm.TU.chromosome_10.2560,182.0654085,-2.582829934,0.6477906591,-3.987136736,6.69E-05,0.006738163079,TP0_v_TP5_amb
evm.TU.chromosome_11.3020,56.31886988,-2.21309424,0.650662745,-3.401292385,0.0006706805173,0.032933758,TP0_v_TP5_amb
evm.TU.chromosome_13.1168,5313.378003,-0.8266041682,0.2073536158,-3.986446848,6.71E-05,0.006738163079,TP0_v_TP5_amb
evm.TU.chromosome_11.2778,13.61270374,23.83632359,4.564103148,5.222564613,1.76E-07,5.92E-05,TP0_v_TP5_amb
evm.TU.chromosome_12.3241,76.56000039,-3.556742634,0.8816116722,-4.034364274,5.48E-05,0.005759304851,TP0_v_TP5_amb
evm.TU.chromosome_5.2032,125.1642765,-23.79436134,3.629470596,-6.555876599,5.53E-11,7.07E-08,TP0_v_TP5_amb
evm.TU.chromosome_12.2655,340.530351,-2.256916587,0.5493708732,-4.108183919,3.99E-05,0.004532602341,TP0_v_TP5_amb
evm.TU.chromosome_6.1115,10.011881,7.071272645,2.11642991,3.341132447,0.0008343740978,0.03825854837,TP0_v_TP5_amb
evm.TU.chromosome_11.125,252.2723704,-2.214327806,0.4969213354,-4.456093244,8.35E-06,0.001272108991,TP0_v_TP5_amb
evm.TU.chromosome_11.124,58.05168873,-3.290029001,0.8473174681,-3.8828764,0.0001032280468,0.008990224438,TP0_v_TP5_amb
evm.TU.chromosome_11.1959,11.07704884,-5.979582595,1.820816007,-3.284012537,0.001023403698,0.04357518574,TP0_v_TP5_amb
evm.TU.chromosome_8.2390,642.2404339,-2.09309972,0.4509585092,-4.641446335,3.46E-06,0.0006581941517,TP0_v_TP5_amb
evm.TU.chromosome_8.1138,254.5719331,-5.785522734,0.9651199673,-5.994615105,2.04E-09,1.61E-06,TP0_v_TP5_amb
evm.TU.chromosome_8.1135,5.784316608,6.314949098,1.600915654,3.944585763,7.99E-05,0.0075178331,TP0_v_TP5_amb
evm.TU.chromosome_6.1657,34.09813616,-3.024940551,0.9011621097,-3.356710761,0.0007887557916,0.03692423273,TP0_v_TP5_amb
evm.TU.chromosome_9.405,7660.901085,-1.076011032,0.2924999962,-3.678670242,0.0002344531698,0.01591591476,TP0_v_TP5_amb
evm.TU.chromosome_12.1054,6.997393157,6.153609508,1.837384624,3.349113423,0.0008107060023,0.03775412814,TP0_v_TP5_amb
evm.TU.chromosome_7.2190,47.24146071,-4.180012776,0.8325447527,-5.020766467,5.15E-07,0.0001353447016,TP0_v_TP5_amb
evm.TU.chromosome_6.283,70.72934026,-2.378149387,0.6954090133,-3.419785107,0.0006267062164,0.03171842934,TP0_v_TP5_amb
evm.TU.chromosome_3.970,324.7568104,-1.508614064,0.3755553129,-4.017022293,5.89E-05,0.006019565567,TP0_v_TP5_amb
evm.TU.chromosome_10.3018,1627.896641,2.474455374,0.5217368734,4.74272665,2.11E-06,0.0004488990148,TP0_v_TP5_amb
evm.TU.chromosome_10.3011,622.6866018,-1.71791249,0.4836225274,-3.552176321,0.0003820587505,0.02277409761,TP0_v_TP5_amb
evm.TU.chromosome_13.2658,1388.419981,-1.572439524,0.4129386069,-3.807925676,0.0001401373755,0.01118763381,TP0_v_TP5_amb
evm.TU.chromosome_7.299,773.2289346,1.158768638,0.3584433564,3.232780348,0.001225917829,0.04956185348,TP0_v_TP5_amb
evm.TU.chromosome_4.2476,26.96130205,-3.229332427,0.9880886067,-3.268261981,0.001082101515,0.04528282535,TP0_v_TP5_amb
evm.TU.chromosome_12.2425,4428.920278,-4.492969392,0.6527055856,-6.883608002,5.84E-12,8.70E-09,TP0_v_TP5_amb
evm.TU.chromosome_12.2426,38.07720728,-3.6169667,0.6765192935,-5.346435401,8.97E-08,3.50E-05,TP0_v_TP5_amb
evm.TU.chromosome_12.2420,2128.547372,-3.606434518,0.5519311649,-6.534210691,6.39E-11,7.80E-08,TP0_v_TP5_amb
evm.TU.chromosome_12.2422,21.56055401,-4.102572949,1.124763436,-3.647498504,0.0002648058526,0.01762301366,TP0_v_TP5_amb
evm.TU.chromosome_12.1882,152.8363294,-3.467920737,0.852070181,-4.069994249,4.70E-05,0.005105714718,TP0_v_TP5_amb
evm.TU.chromosome_12.1881,40.13541697,-5.10189768,1.244175129,-4.10062664,4.12E-05,0.004631572633,TP0_v_TP5_amb
evm.TU.chromosome_12.1880,9.169791659,-7.218757848,1.87798429,-3.843886174,0.0001211011923,0.01011592511,TP0_v_TP5_amb
evm.TU.chromosome_12.3776,49.08821708,6.542787386,1.732055987,3.777468762,0.0001584303691,0.01212811176,TP0_v_TP5_amb
evm.TU.chromosome_7.2229,2475.91993,-1.819945657,0.4516179743,-4.02983442,5.58E-05,0.005848486596,TP0_v_TP5_amb
evm.TU.chromosome_10.88,853.2650066,-7.804097963,1.797143093,-4.342502272,1.41E-05,0.00188926234,TP0_v_TP5_amb
evm.TU.chromosome_3.836,79.61839815,22.91047203,3.349072869,6.840840116,7.87E-12,1.11E-08,TP0_v_TP5_amb
evm.TU.chromosome_9.2572,11.01693697,-6.729020602,1.878678751,-3.581783527,0.0003412565124,0.02109185412,TP0_v_TP5_amb
evm.TU.chromosome_12.1878,234.4030025,-3.825809244,0.8195523584,-4.668169404,3.04E-06,0.0005907019694,TP0_v_TP5_amb
evm.TU.chromosome_6.1425,192.7274308,-2.062346421,0.6213940989,-3.318902488,0.0009037198131,0.04035326366,TP0_v_TP5_amb
evm.TU.chromosome_13.1253,16.18250671,-9.316843856,2.72732941,-3.416105081,0.0006352372909,0.03189920728,TP0_v_TP5_amb
evm.TU.chromosome_12.201,421.0014337,-2.544250057,0.5519961526,-4.60918078,4.04E-06,0.0007427284682,TP0_v_TP5_amb
evm.TU.chromosome_5.2615,4446.02152,-2.030556479,0.489669909,-4.146786318,3.37E-05,0.004019719048,TP0_v_TP5_amb
evm.TU.chromosome_12.1969,97.29736393,2.728409771,0.7697600364,3.544493923,0.0003933675729,0.02324161184,TP0_v_TP5_amb
evm.TU.chromosome_9.2801,1305.645139,-1.308503525,0.353960471,-3.696750435,0.0002183768275,0.01516509906,TP0_v_TP5_amb
evm.TU.chromosome_13.1986,1072.877008,-2.770407095,0.6879045583,-4.027313181,5.64E-05,0.005888532087,TP0_v_TP5_amb
evm.TU.chromosome_7.983,26.80795823,21.58555564,4.562986436,4.730576333,2.24E-06,0.0004691754892,TP0_v_TP5_amb
evm.TU.chromosome_8.852,218.6180868,-2.620612907,0.755736394,-3.467628299,0.0005250730246,0.02845365417,TP0_v_TP5_amb
evm.TU.chromosome_8.855,269.9287469,-3.135082338,0.805286024,-3.893128957,9.90E-05,0.008703245822,TP0_v_TP5_amb
evm.TU.chromosome_12.799,85.22777234,-3.889240411,0.7380509935,-5.269609343,1.37E-07,4.76E-05,TP0_v_TP5_amb
evm.TU.chromosome_12.795,135.9188876,-3.405240376,0.6032777096,-5.644565218,1.66E-08,8.88E-06,TP0_v_TP5_amb
